feedback_id,task_type_code,task_type_description,is_task_type_level
01e264a0-89e8-40db-81c5-0cef9aca9696,FO_1.1.1.6,Produire le corps d'une fonction,f
0609cec4-29e0-471a-aeab-2b329a14b001,FO_4.2,Appeler une fonction déclaré,f
07b9864a-8dd7-4ac5-a086-172fd8847e4c,FO_1.2.3,Modifier le corps d'une fonction,f
08563d3b-9930-40a6-8032-5a1661f4c27d,FO_4.2.1,Choisir l’argument avec lequel appeler la fonction déclaré,t
09a4995b-f1f7-4fdb-8b25-fb36884da48a,FO_4.2,Appeler une fonction déclaré,f
0a4a41e6-417c-4db8-92d4-5d338b2748b9,FO_1.2.4,Compléter le corps d'une fonction,f
0af76959-42bc-4bc7-80e1-950fd1d2e9ac,FO_1.1.1.2,"Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",f
0eaf4f70-697e-406e-8895-b3df09b9cb4a,FO_1.1.1.2,"Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",t
0f066710-4b31-41b9-9458-f411ac1377d3,FO_1.1.1,Définir une fonction,t
0fd82eed-46d3-41d2-9b76-b802d854128a,FO_4.2.1,Choisir l’argument avec lequel appeler la fonction déclaré,t
105a7378-d151-4a12-a1e4-fdf34ac87e03,FO_1.1.1.4,"Déterminer, le cas échéant, les éléments à retourner par une fonction",t
108b5926-d234-4396-aadb-89725092007c,FO_1.1.1.2,"Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",t
15b7645b-8583-407f-917c-9192f74279db,FO_1.1.1.4,"Déterminer, le cas échéant, les éléments à retourner par une fonction",f
1625c0f1-a59a-4b6e-9991-3fa220870b4c,FO_1.1.1.6,Produire le corps d'une fonction,t
17a47845-ddd6-4177-9db7-f55d25604f2e,FO_4.2.1,Choisir l’argument avec lequel appeler la fonction déclaré,f
18c4ad40-ee44-44df-9b8b-f5a2c9bad889,AL_1.1.1.2,Décomposer la tâche t en sous tâches,f
1ad6e797-653c-4346-9ad6-9dc20e4472c5,FO_4.2,Appeler une fonction déclaré,f
