feedback_id,platform_id,level,mode,language,exercise_id,kc_name,characteristics_combo,characteristics_raw,total_iterations,status,validation_status,error_message,created_at
0f066710-4b31-41b9-9458-f411ac1377d3,algopython,task_type,offline,fr,,FO_1.1.1,logos,"[""logos""]",2,completed,generated,,2026-04-28 18:10:58.797409
45514c89-eb82-426b-a83b-f4a384c87da7,algopython,task_type,offline,fr,,FO_1.1.1,logos,"[""logos""]",3,completed,generated,,2026-04-28 18:56:57.711849
fae53527-9209-4375-8ff8-3cd2e4c99b05,algopython,task_type,offline,fr,,FO_1.1.1,logos,"[""logos""]",2,completed,generated,,2026-04-28 18:59:23.181144
6bd11a1b-40a4-4bb5-bfff-f7bba4380056,algopython,task_type,offline,fr,,FO_1.1.1,logos,"[""logos""]",2,completed,generated,,2026-04-28 19:09:29.903147
fef8559d-e17b-48f6-a15a-0dc4ce4e1993,algopython,task_type,offline,fr,,FO_1.1.1,technical,"[""technical""]",1,completed,generated,,2026-04-28 19:12:43.025902
976c3caa-f6c8-47bc-9cdb-01e4dd9f497b,algopython,task_type,offline,fr,,FO_1.1.1,logos+with_example_unrelated_to_exercise,"[""logos"", ""with_example_unrelated_to_exercise""]",2,completed,generated,,2026-04-28 19:14:12.325715
73956ed1-4977-4b8f-80f8-fc4a0f1cbd09,algopython,task_type,offline,fr,,FO_1.1.1,technical+with_example_unrelated_to_exercise,"[""with_example_unrelated_to_exercise"", ""technical""]",2,completed,generated,,2026-04-28 19:16:46.785896
108b5926-d234-4396-aadb-89725092007c,algopython,task_type,offline,fr,,FO_1.1.1.2,logos,"[""logos""]",2,completed,generated,,2026-04-28 19:19:23.082885
0eaf4f70-697e-406e-8895-b3df09b9cb4a,algopython,task_type,offline,fr,,FO_1.1.1.2,technical,"[""technical""]",1,completed,generated,,2026-04-28 19:39:26.812065
fbef2951-cb9d-471a-a7eb-6083a5c56392,algopython,task_type,offline,fr,,FO_1.1.1.2,logos+with_example_unrelated_to_exercise,"[""logos"", ""with_example_unrelated_to_exercise""]",4,completed,generated,,2026-04-28 19:43:26.146255
