feedback_id,error_tag,error_description,error_tag_in_xml,error_description_in_xml
01e264a0-89e8-40db-81c5-0cef9aca9696,FUNCTION_DEFINITION_BODY_ERROR,"<!-- ================================================================= -->
  <!-- ERREURS DE DÉFINITION DE FONCTION                                  -->
  <!--                                                                    -->
  <!-- Principe général : erreurs portant sur l'écriture même d'une       -->
  <!-- définition de fonction (son nom, ses paramètres, son retour, son   -->
  <!-- corps) — par opposition aux erreurs sur les appels de fonction.    -->
  <!-- ================================================================= -->

  <tag_name>FUNCTION_DEFINITION_BODY_ERROR</tag_name>
  <description>
    Tag parapluie : toute erreur détectée à l'intérieur du corps d'une
    fonction — ni dans sa liste de paramètres, ni dans son nom. Se
    déclenche en complément du tag plus spécifique qui décrit l'erreur
    exacte au niveau du corps (appel manquant, mauvaise constante,
    opération superflue, etc.). Cause typique chez le novice : tout écart
    structurel ou de contenu dans les instructions exécutables de la
    fonction.
  </description>
  <example>
# student_code (mauvaise constante dans le corps)
def tracer(n):
\tavancer(3)
\treturn n

# expected_code
def tracer(n):
\tavancer(n)
\treturn n
  </example>",FUNCTION_DEFINITION_BODY_ERROR,"&lt;!-- ================================================================= --&gt;
  &lt;!-- ERREURS DE DÉFINITION DE FONCTION                                  --&gt;
  &lt;!--                                                                    --&gt;
  &lt;!-- Principe général : erreurs portant sur l'écriture même d'une       --&gt;
  &lt;!-- définition de fonction (son nom, ses paramètres, son retour, son   --&gt;
  &lt;!-- corps) — par opposition aux erreurs sur les appels de fonction.    --&gt;
  &lt;!-- ================================================================= --&gt;

  &lt;tag_name&gt;FUNCTION_DEFINITION_BODY_ERROR&lt;/tag_name&gt;
  &lt;description&gt;
    Tag parapluie : toute erreur détectée à l'intérieur du corps d'une
    fonction — ni dans sa liste de paramètres, ni dans son nom. Se
    déclenche en complément du tag plus spécifique qui décrit l'erreur
    exacte au niveau du corps (appel manquant, mauvaise constante,
    opération superflue, etc.). Cause typique chez le novice : tout écart
    structurel ou de contenu dans les instructions exécutables de la
    fonction.
  &lt;/description&gt;
  &lt;example&gt;
# student_code (mauvaise constante dans le corps)
def tracer(n):
\tavancer(3)
\treturn n

# expected_code
def tracer(n):
\tavancer(n)
\treturn n
  &lt;/example&gt;"
0609cec4-29e0-471a-aeab-2b329a14b001,DECLARED_FUNCTION_CALL_UNNECESSARY,"<!-- ================================================================= -->
  <!-- ERREURS D'APPEL DE FONCTIONS DÉCLARÉES                             -->
  <!-- (fonctions définies par l'utilisateur, pas les fonctions intégrées)-->
  <!--                                                                    -->
  <!-- Principe général : même logique que pour les fonctions intégrées   -->
  <!-- (manquant/superflu/mauvais arguments/mauvaise position), mais      -->
  <!-- appliquée aux fonctions définies par l'utilisateur lui-même dans   -->
  <!-- son programme.                                                     -->
  <!-- ================================================================= -->

  <tag_name>DECLARED_FUNCTION_CALL_UNNECESSARY</tag_name>
  <description>
    Le programme de l'élève contient un appel à une fonction définie par
    l'utilisateur sans contrepartie dans la solution attendue. Cause
    typique chez le novice : l'élève appelle la fonction une fois de trop,
    ou l'invoque à un endroit où la solution attendue ne le fait pas.
  </description>
  <example>
# student_code (appelé deux fois)
def carre(n):
\tfor k in range(4):
\t\tavancer(n)
\t\ttourner(90)

carre(5)
carre(5)

# expected_code
def carre(n):
\tfor k in range(4):
\t\tavancer(n)
\t\ttourner(90)

carre(5)
  </example>
",DECLARED_FUNCTION_CALL_UNNECESSARY,"&lt;!-- ================================================================= --&gt;
  &lt;!-- ERREURS D'APPEL DE FONCTIONS DÉCLARÉES                             --&gt;
  &lt;!-- (fonctions définies par l'utilisateur, pas les fonctions intégrées)--&gt;
  &lt;!--                                                                    --&gt;
  &lt;!-- Principe général : même logique que pour les fonctions intégrées   --&gt;
  &lt;!-- (manquant/superflu/mauvais arguments/mauvaise position), mais      --&gt;
  &lt;!-- appliquée aux fonctions définies par l'utilisateur lui-même dans   --&gt;
  &lt;!-- son programme.                                                     --&gt;
  &lt;!-- ================================================================= --&gt;

  &lt;tag_name&gt;DECLARED_FUNCTION_CALL_UNNECESSARY&lt;/tag_name&gt;
  &lt;description&gt;
    Le programme de l'élève contient un appel à une fonction définie par
    l'utilisateur sans contrepartie dans la solution attendue. Cause
    typique chez le novice : l'élève appelle la fonction une fois de trop,
    ou l'invoque à un endroit où la solution attendue ne le fait pas.
  &lt;/description&gt;
  &lt;example&gt;
# student_code (appelé deux fois)
def carre(n):
\tfor k in range(4):
\t\tavancer(n)
\t\ttourner(90)

carre(5)
carre(5)

# expected_code
def carre(n):
\tfor k in range(4):
\t\tavancer(n)
\t\ttourner(90)

carre(5)
  &lt;/example&gt;
"
07b9864a-8dd7-4ac5-a086-172fd8847e4c,FUNCTION_DEFINITION_BODY_ERROR,"<!-- ================================================================= -->
  <!-- ERREURS DE DÉFINITION DE FONCTION                                  -->
  <!--                                                                    -->
  <!-- Principe général : erreurs portant sur l'écriture même d'une       -->
  <!-- définition de fonction (son nom, ses paramètres, son retour, son   -->
  <!-- corps) — par opposition aux erreurs sur les appels de fonction.    -->
  <!-- ================================================================= -->

  <tag_name>FUNCTION_DEFINITION_BODY_ERROR</tag_name>
  <description>
    Tag parapluie : toute erreur détectée à l'intérieur du corps d'une
    fonction — ni dans sa liste de paramètres, ni dans son nom. Se
    déclenche en complément du tag plus spécifique qui décrit l'erreur
    exacte au niveau du corps (appel manquant, mauvaise constante,
    opération superflue, etc.). Cause typique chez le novice : tout écart
    structurel ou de contenu dans les instructions exécutables de la
    fonction.
  </description>
  <example>
# student_code (mauvaise constante dans le corps)
def tracer(n):
\tavancer(3)
\treturn n

# expected_code
def tracer(n):
\tavancer(n)
\treturn n
  </example>",FUNCTION_DEFINITION_BODY_ERROR,"&lt;!-- ================================================================= --&gt;
  &lt;!-- ERREURS DE DÉFINITION DE FONCTION                                  --&gt;
  &lt;!--                                                                    --&gt;
  &lt;!-- Principe général : erreurs portant sur l'écriture même d'une       --&gt;
  &lt;!-- définition de fonction (son nom, ses paramètres, son retour, son   --&gt;
  &lt;!-- corps) — par opposition aux erreurs sur les appels de fonction.    --&gt;
  &lt;!-- ================================================================= --&gt;

  &lt;tag_name&gt;FUNCTION_DEFINITION_BODY_ERROR&lt;/tag_name&gt;
  &lt;description&gt;
    Tag parapluie : toute erreur détectée à l'intérieur du corps d'une
    fonction — ni dans sa liste de paramètres, ni dans son nom. Se
    déclenche en complément du tag plus spécifique qui décrit l'erreur
    exacte au niveau du corps (appel manquant, mauvaise constante,
    opération superflue, etc.). Cause typique chez le novice : tout écart
    structurel ou de contenu dans les instructions exécutables de la
    fonction.
  &lt;/description&gt;
  &lt;example&gt;
# student_code (mauvaise constante dans le corps)
def tracer(n):
\tavancer(3)
\treturn n

# expected_code
def tracer(n):
\tavancer(n)
\treturn n
  &lt;/example&gt;"
08563d3b-9930-40a6-8032-5a1661f4c27d,,,,
09a4995b-f1f7-4fdb-8b25-fb36884da48a,DECLARED_FUNCTION_CALL_INCORRECT_POSITION,"<!-- ================================================================= -->
  <!-- ERREURS D'APPEL DE FONCTIONS DÉCLARÉES                             -->
  <!-- (fonctions définies par l'utilisateur, pas les fonctions intégrées)-->
  <!--                                                                    -->
  <!-- Principe général : même logique que pour les fonctions intégrées   -->
  <!-- (manquant/superflu/mauvais arguments/mauvaise position), mais      -->
  <!-- appliquée aux fonctions définies par l'utilisateur lui-même dans   -->
  <!-- son programme.                                                     -->
  <!-- ================================================================= -->
  
  <tag_name>DECLARED_FUNCTION_CALL_INCORRECT_POSITION</tag_name>
  <description>
    Un appel à une fonction définie par l'utilisateur est présent dans le
    programme de l'élève mais à un endroit différent de celui attendu —
    ni manquant, ni superflu, simplement mal positionné dans le flot
    d'exécution. Cause typique chez le novice : l'élève place l'appel
    avant une initialisation requise, ou après du code qui dépendait de
    ses effets de bord.
  </description>
  <example>
# student_code (appel placé avant l'initialisation requise)
def carre(n):
\tfor k in range(4):
\t\tavancer(n)
\t\ttourner(90)

carre(5)
couleur(255, 0, 0)

# expected_code
def carre(n):
\tfor k in range(4):
\t\tavancer(n)
\t\ttourner(90)

couleur(255, 0, 0)
carre(5)
  </example>",DECLARED_FUNCTION_CALL_INCORRECT_POSITION,"&lt;!-- ================================================================= --&gt;
  &lt;!-- ERREURS D'APPEL DE FONCTIONS DÉCLARÉES                             --&gt;
  &lt;!-- (fonctions définies par l'utilisateur, pas les fonctions intégrées)--&gt;
  &lt;!--                                                                    --&gt;
  &lt;!-- Principe général : même logique que pour les fonctions intégrées   --&gt;
  &lt;!-- (manquant/superflu/mauvais arguments/mauvaise position), mais      --&gt;
  &lt;!-- appliquée aux fonctions définies par l'utilisateur lui-même dans   --&gt;
  &lt;!-- son programme.                                                     --&gt;
  &lt;!-- ================================================================= --&gt;
  
  &lt;tag_name&gt;DECLARED_FUNCTION_CALL_INCORRECT_POSITION&lt;/tag_name&gt;
  &lt;description&gt;
    Un appel à une fonction définie par l'utilisateur est présent dans le
    programme de l'élève mais à un endroit différent de celui attendu —
    ni manquant, ni superflu, simplement mal positionné dans le flot
    d'exécution. Cause typique chez le novice : l'élève place l'appel
    avant une initialisation requise, ou après du code qui dépendait de
    ses effets de bord.
  &lt;/description&gt;
  &lt;example&gt;
# student_code (appel placé avant l'initialisation requise)
def carre(n):
\tfor k in range(4):
\t\tavancer(n)
\t\ttourner(90)

carre(5)
couleur(255, 0, 0)

# expected_code
def carre(n):
\tfor k in range(4):
\t\tavancer(n)
\t\ttourner(90)

couleur(255, 0, 0)
carre(5)
  &lt;/example&gt;"
0a4a41e6-417c-4db8-92d4-5d338b2748b9,FUNCTION_DEFINITION_BODY_ERROR,"<!-- ================================================================= -->
  <!-- ERREURS DE DÉFINITION DE FONCTION                                  -->
  <!--                                                                    -->
  <!-- Principe général : erreurs portant sur l'écriture même d'une       -->
  <!-- définition de fonction (son nom, ses paramètres, son retour, son   -->
  <!-- corps) — par opposition aux erreurs sur les appels de fonction.    -->
  <!-- ================================================================= -->

  <tag_name>FUNCTION_DEFINITION_BODY_ERROR</tag_name>
  <description>
    Tag parapluie : toute erreur détectée à l'intérieur du corps d'une
    fonction — ni dans sa liste de paramètres, ni dans son nom. Se
    déclenche en complément du tag plus spécifique qui décrit l'erreur
    exacte au niveau du corps (appel manquant, mauvaise constante,
    opération superflue, etc.). Cause typique chez le novice : tout écart
    structurel ou de contenu dans les instructions exécutables de la
    fonction.
  </description>
  <example>
# student_code (mauvaise constante dans le corps)
def tracer(n):
\tavancer(3)
\treturn n

# expected_code
def tracer(n):
\tavancer(n)
\treturn n
  </example>",FUNCTION_DEFINITION_BODY_ERROR,"&lt;!-- ================================================================= --&gt;
  &lt;!-- ERREURS DE DÉFINITION DE FONCTION                                  --&gt;
  &lt;!--                                                                    --&gt;
  &lt;!-- Principe général : erreurs portant sur l'écriture même d'une       --&gt;
  &lt;!-- définition de fonction (son nom, ses paramètres, son retour, son   --&gt;
  &lt;!-- corps) — par opposition aux erreurs sur les appels de fonction.    --&gt;
  &lt;!-- ================================================================= --&gt;

  &lt;tag_name&gt;FUNCTION_DEFINITION_BODY_ERROR&lt;/tag_name&gt;
  &lt;description&gt;
    Tag parapluie : toute erreur détectée à l'intérieur du corps d'une
    fonction — ni dans sa liste de paramètres, ni dans son nom. Se
    déclenche en complément du tag plus spécifique qui décrit l'erreur
    exacte au niveau du corps (appel manquant, mauvaise constante,
    opération superflue, etc.). Cause typique chez le novice : tout écart
    structurel ou de contenu dans les instructions exécutables de la
    fonction.
  &lt;/description&gt;
  &lt;example&gt;
# student_code (mauvaise constante dans le corps)
def tracer(n):
\tavancer(3)
\treturn n

# expected_code
def tracer(n):
\tavancer(n)
\treturn n
  &lt;/example&gt;"
0af76959-42bc-4bc7-80e1-950fd1d2e9ac,FUNCTION_DEFINITION_UNNECESSARY_PARAMETER,"<!-- ================================================================= -->
  <!-- ERREURS DE DÉFINITION DE FONCTION                                  -->
  <!--                                                                    -->
  <!-- Principe général : erreurs portant sur l'écriture même d'une       -->
  <!-- définition de fonction (son nom, ses paramètres, son retour, son   -->
  <!-- corps) — par opposition aux erreurs sur les appels de fonction.    -->
  <!-- ================================================================= -->

  <tag_name>FUNCTION_DEFINITION_UNNECESSARY_PARAMETER</tag_name>
  <description>
    La liste de paramètres de la fonction définie par l'élève contient un
    paramètre supplémentaire sans contrepartie dans la définition attendue.
    Ce paramètre est soit inutilisé dans le corps, soit utilisé de manière
    redondante. Cause typique chez le novice : l'élève ajoute un paramètre
    « au cas où » ou confond une variable locale avec un paramètre.
  </description>
  <example>
# student_code (paramètre m superflu)
def tracer(n, m):
\tavancer(n)

# expected_code
def tracer(n):
\tavancer(n)
  </example>",FUNCTION_DEFINITION_UNNECESSARY_PARAMETER,"&lt;!-- ================================================================= --&gt;
  &lt;!-- ERREURS DE DÉFINITION DE FONCTION                                  --&gt;
  &lt;!--                                                                    --&gt;
  &lt;!-- Principe général : erreurs portant sur l'écriture même d'une       --&gt;
  &lt;!-- définition de fonction (son nom, ses paramètres, son retour, son   --&gt;
  &lt;!-- corps) — par opposition aux erreurs sur les appels de fonction.    --&gt;
  &lt;!-- ================================================================= --&gt;

  &lt;tag_name&gt;FUNCTION_DEFINITION_UNNECESSARY_PARAMETER&lt;/tag_name&gt;
  &lt;description&gt;
    La liste de paramètres de la fonction définie par l'élève contient un
    paramètre supplémentaire sans contrepartie dans la définition attendue.
    Ce paramètre est soit inutilisé dans le corps, soit utilisé de manière
    redondante. Cause typique chez le novice : l'élève ajoute un paramètre
    « au cas où » ou confond une variable locale avec un paramètre.
  &lt;/description&gt;
  &lt;example&gt;
# student_code (paramètre m superflu)
def tracer(n, m):
\tavancer(n)

# expected_code
def tracer(n):
\tavancer(n)
  &lt;/example&gt;"
0eaf4f70-697e-406e-8895-b3df09b9cb4a,,,,
0f066710-4b31-41b9-9458-f411ac1377d3,,,,
0fd82eed-46d3-41d2-9b76-b802d854128a,,,,
